Name,Solvent,n,n25,a,b,g,e,f,y
5-nonanone ,CCCCC(=O)CCCC,1.4195,,0,0.51,37.83,10.6,0,0
acetic acid ,CC(=O)O,1.372,1.3698,0.61,0.44,39.01,6.2528,0,0
acetone ,CC(=O)C,1.3588,1.3559,0.04,0.49,33.77,20.493,0,0
acetonitrile ,CC#N,1.3442,1.3416,0.07,0.32,41.25,35.688,0,0
acetophenone ,CC(=O)c1ccccc1,1.5372,1.5321,0,0.48,56.19,17.44,0.667,0
aniline ,c1ccc(cc1)N,1.5863,1.5834,0.26,0.41,60.62,6.8882,0.857,0
anisole ,COc1ccccc1,1.5174,1.5143,0,0.29,50.52,4.2247,0.75,0
benzaldehyde ,c1ccc(cc1)C=O,1.5463,1.5433,0,0.39,54.69,18.22,0.857,0
benzene ,c1ccccc1,1.5011,1.4972,0,0.14,40.62,2.2706,1,0
benzonitrile ,c1ccc(cc1)C#N,1.5289,1.5257,0,0.33,55.83,25.592,0.75,0
benzyl alcohol ,c1ccc(cc1)CO,1.5396,1.5384,0.33,0.56,52.96,12.457,0.75,0
bromobenzene ,c1ccc(cc1)Br,1.5597,1.5576,0,0.09,50.72,5.3954,0.857,0.143
bromoethane ,CCBr,1.4239,1.4187,0,0.12,34,9.01,0,0.333
bromoform ,C(Br)(Br)Br,1.6005,1.5956,0.15,0.06,64.58,4.2488,0,0.75
butanal ,CCCC=O,1.3843,1.3766,0,0.45,35.06,13.45,0,0
butanoic acid ,CCCC(=O)O,1.398,1.3958,0.6,0.45,37.49,2.9931,0,0
butanone ,CCC(=O)C,1.3788,1.3764,0,0.51,34.5,18.246,0,0
butanonitrile ,CCCC#N,1.3842,1.382,0,0.36,38.75,24.291,0,0
butyl ethanoate ,CCCCOC(=O)C,1.3941,1.3923,0,0.45,35.81,4.9941,0,0
butylamine ,CCCCN,1.4031,1.3987,0.16,0.61,33.74,4.6178,0,0
